session_name          ,Upper Body Height ,Standing Height ,Upper Leg Length A ,Upper Leg Length L ,Upper Leg Length R ,Upper Arm Length A ,Upper Arm L ,Upper Arm R ,Biacromial Breadth ,Bideltoid Width ,Wingspan  ,Foot Length A ,Foot Length L ,Foot Length R
M-SMC-07272023-32     ,         622.6572 ,      1469.2383 ,          388.3721 ,          388.3722 ,          388.372  ,          306.9433 ,   306.9431 ,   306.9435 ,           87.5359 ,       289.6239 ,1404.9466 ,     155.5199 ,     155.5198 ,     155.5199
M-SMC-07272023-33     ,         705.571  ,      1625.649  ,          429.131  ,          429.131  ,          429.1309 ,          315.0511 ,   315.051  ,   315.0511 ,           86.4566 ,       311.2366 ,1517.8149 ,     170.7778 ,     170.7777 ,     170.7778
M-SMC-06272023-05_001 ,         593.9475 ,      1300.2055 ,          345.151  ,          345.151  ,          345.151  ,          260.02   ,   260.02   ,   260.02   ,          116.6922 ,       253.7472 ,1206.1732 ,     136.5323 ,     136.5323 ,     136.5323
M-SMC-06272023-08     ,         566.8062 ,      1280.0455 ,          363.4131 ,          363.4132 ,          363.4131 ,          285.4242 ,   285.4242 ,   285.4242 ,           67.8613 ,       207.4056 ,1206.5462 ,     138.1126 ,     138.1126 ,     138.1126
M-SMC-07252023-22     ,         589.417  ,      1356.3021 ,          394.8721 ,          394.872  ,          394.8721 ,          282.119  ,   282.119  ,   282.119  ,           69.3438 ,       214.4786 ,1233.2048 ,     142.6607 ,     142.6607 ,     142.6606
M-SMC-07282023-35     ,         623.509  ,      1450.5881 ,          405.0211 ,          405.0212 ,          405.021  ,          315.0702 ,   315.0701 ,   315.0702 ,           75.5181 ,       281.742  ,1418.3225 ,     152.5031 ,     152.5032 ,     152.503
M-SMC-06262023-03     ,         568.9302 ,      1412.1202 ,          406.8331 ,          406.833  ,          406.8331 ,          318.3071 ,   318.307  ,   318.3072 ,           73.3078 ,       227.1672 ,1334.2756 ,     147.4744 ,     147.4744 ,     147.4744
M-SMC-06262023-02     ,         554.9992 ,      1300.975  ,          369.6249 ,          369.6249 ,          369.6248 ,          274.5449 ,   274.5449 ,   274.5449 ,           77.2836 ,       265.4428 ,1181.3848 ,     140.8077 ,     140.8078 ,     140.8077
M-SMC-07282023-34     ,         730.0625 ,      1489.9672 ,          361.9609 ,          361.9609 ,          361.9609 ,          301.26   ,   301.26   ,   301.26   ,           76.2119 ,       242.2261 ,1382.0703 ,     154.7405 ,     154.7404 ,     154.7406
M-SMC-07252023-20_001 ,         522.5509 ,      1401.216  ,          458.2002 ,          458.2002 ,          458.2002 ,          310.7651 ,   310.765  ,   310.7652 ,           75.302  ,       245.6961 ,1345.5065 ,     149.4668 ,     149.4668 ,     149.4668
M-SMC-07252023-23     ,         645.4787 ,      1478.0789 ,          419.0361 ,          419.0361 ,          419.0361 ,          299.4591 ,   299.4591 ,   299.4591 ,           84.0204 ,       236.0381 ,1331.7084 ,     151.2672 ,     151.2672 ,     151.2672
M-SMC-07252023-21     ,         597.4081 ,      1302.3248 ,          356.4499 ,          356.4499 ,          356.4499 ,          273.0651 ,   273.065  ,   273.0651 ,           68.6053 ,       207.354  ,1211.3524 ,     137.9601 ,     137.9602 ,     137.9601
M-SMC-07282023-36     ,         585.8684 ,      1435.6016 ,          418.2791 ,          418.2791 ,          418.2791 ,          289.4431 ,   289.4432 ,   289.443  ,           74.0441 ,       268.8421 ,1296.5405 ,     150.4518 ,     150.4518 ,     150.4518
M-SMC-06262023-01     ,         625.0113 ,      1457.1147 ,          423.2721 ,          423.2722 ,          423.2719 ,          317.5071 ,   317.5071 ,   317.5071 ,           77.0687 ,       228.3974 ,1343.3216 ,     150.9468 ,     150.9468 ,     150.9467
M-SMC-07252023-20     ,         522.551  ,      1401.2165 ,          458.2002 ,          458.2002 ,          458.2003 ,          310.7651 ,   310.765  ,   310.7652 ,           75.302  ,       245.696  ,1345.5067 ,     149.4669 ,     149.4669 ,     149.4668
M-SMC-07252023-24     ,         597.7394 ,      1475.7268 ,          447.1453 ,          447.1452 ,          447.1453 ,          328.2382 ,   328.2382 ,   328.2381 ,           75.4526 ,       244.4576 ,1408.654  ,     154.0714 ,     154.0714 ,     154.0714
M-SMC-06282023-09     ,         663.6091 ,      1458.7791 ,          402.6321 ,          402.632  ,          402.6322 ,          289.459  ,   289.4592 ,   289.4589 ,           75.4755 ,       255.0687 ,1273.701  ,     150.9413 ,     150.9413 ,     150.9413
M-SMC-07262023-29     ,         649.9724 ,      1606.1396 ,          486.571  ,          486.5712 ,          486.5709 ,          353.9891 ,   353.9891 ,   353.9892 ,           88.7342 ,       256.5901 ,1510.0848 ,     167.3927 ,     167.3927 ,     167.3927
M-SMC-07262023-28     ,         539.2004 ,      1439.2799 ,          457.4461 ,          457.4461 ,          457.4462 ,          351.6842 ,   351.6843 ,   351.6841 ,           79.1423 ,       265.0048 ,1463.0678 ,     158.6563 ,     158.6564 ,     158.6562
