session_name,Standing Height,Upper Leg Length,Upper Arm Length,Wingspan,Sitting Height,Biacromial Breadth,Foot Length
M-SMC-06282023-13,1842.7596580551003,400.56813879149445,634.8603695053357,1269.7207390106714,618.0306049998046,80.5646064741673,154.24685178375125
M-SMC-06282023-13_001,1882.5805437777972,400.567993,634.8600079999999,1269.7200159999998,657.5801749020428,131.78211474193037,154.24681411114292
M-SMC-06282023-12,1774.1763993386553,379.58511793786545,624.0642689585551,1248.1285379171102,619.296239688753,71.4787504429484,145.76120453284472
M-SMC-06282023-10,2030.7217824958962,479.613006,707.73103,1415.46206,665.9579178839757,147.26927713263663,156.58450195814387
M-SMC-07262023-26,1945.5457184332577,410.4921181256814,685.4236045124026,1370.8472090248051,674.0767345849767,81.74901696026707,158.58446694552248
M-SMC-07262023-27,1970.2962173454507,425.8931287259774,641.1710595417421,1282.3421190834842,686.808315948337,77.39302473393973,156.94861971174817
M-SMC-06282023-11,1755.9843579485885,375.4881022457985,607.0819188397663,1214.1638376795327,617.2404663119155,72.84526861319215,145.14329132092718
M-SMC-06272023-05,1655.317293561885,345.15100099999995,544.7405210000001,1089.4810420000001,593.9475262909702,116.69218711783367,136.53233488270905
M-SMC-07242023-18,1816.481042871948,376.3620424668281,598.0676006303738,1196.1352012607476,622.6523584829016,71.77984311364673,145.40926915473443
M-SMC-07242023-19,1870.4116054513788,419.9911037711068,603.9926516836263,1207.9853033672525,620.699334597087,77.61755885375499,150.75273506819264
M-SMC-06272023-04,2158.6788980844076,529.3619380000001,709.4033690000001,1418.8067380000002,654.7389569271113,119.0174752922296,167.52880003315516
M-SMC-06272023-06,1966.342317632137,429.83323320246245,672.9849054032715,1345.969810806543,657.2335775316334,80.34692432895352,162.13752674677855
M-SMC-07242023-19_001,1855.7050045820522,419.991242330182,603.9927425270797,1207.9854850541594,620.6991254883491,77.61747076699103,150.75280112246693
M-SMC-06272023-07,1999.65779312601,453.32997611980363,696.4696632916808,1392.9393265833617,651.0854029217951,81.26931193322446,158.79928763780842
M-SMC-07262023-25-M,1723.206368244883,415.16020030287774,575.5644119832076,1151.1288239664152,516.9422203525181,72.96943733379521,140.17355979709865
M-SMC-06282023-11_001,1753.866553734295,375.48816267709043,607.0818528714435,1214.163705742887,617.2405539850089,72.84523622400991,145.14335606530372
M-SMC-06292023-15,1864.7080511968065,416.7180859985746,657.3295852145112,1314.6591704290224,632.3217676980664,74.38069290762013,150.55228573959087
M-SMC-06292023-14,1880.1671019654304,429.038068486326,644.8849169800772,1289.7698339601543,621.880098636802,75.86543460929515,151.7238905326362
M-SMC-06292023-16,1750.5558227419847,411.7281704112402,568.7467686234556,1137.4935372469113,566.6869021234282,71.69147386272056,141.06288663539686
M-SMC-06292023-17,1756.8534963390898,379.8162371748855,573.583156497326,1147.166312994652,614.1386754070126,71.98833855331911,145.41785830442205
M-SMC-06272023-05_003,1655.317293561885,345.15100099999995,544.7405210000001,1089.4810420000001,593.9475262909702,116.69218711783367,136.53233488270905
M-SMC-07272023-31,1987.6845238205578,424.3740818660043,672.90681078538,1345.81362157076,682.1415783824012,85.53331059427472,162.23645888710618
M-SMC-07272023-30,2151.776848087354,491.753968,687.3196599999999,1374.6393199999998,704.256715412309,108.45900396762124,167.61485252875235
M-SMC-06272023-05_002,1618.963004951302,345.1511748373824,544.7409032164067,1089.4818064328133,554.4205806876885,68.63540448894044,136.53241509824434
M-SMC-07272023-32,1869.4929013115348,388.3721512025606,658.7053245383343,1317.4106490766685,622.6572037686423,87.53592124412941,155.51989018364847
M-SMC-07272023-33,2075.8067864074496,429.13104278233243,715.6791640373627,1431.3583280747255,705.5709959812914,86.45659017737094,170.77780324230406
M-SMC-06272023-05_001,1655.317293561885,345.15100099999995,544.7405210000001,1089.4810420000001,593.9475262909702,116.69218711783367,136.53233488270905
M-SMC-06272023-08,1652.9298574075624,363.4131523482772,569.342420844991,1138.684841689982,566.8062228301736,67.86132724015707,138.11258514722243
M-SMC-07252023-22,1756.5823827738752,394.8721102366509,581.9305075768063,1163.8610151536127,589.4169643893069,69.34380962912425,142.66066299212898
M-SMC-07282023-35,1866.3923610046038,405.0212138253914,671.4021996352234,1342.8043992704468,623.5089539386557,75.51806170280548,152.50315758607002
M-SMC-06262023-03,1829.4633639161787,406.8331196245021,630.4838997658929,1260.9677995317859,568.9302258106608,73.30775856586115,147.47442096821914
M-SMC-06262023-02,1684.8876433026144,369.62488043336026,552.0505809455967,1104.1011618911934,554.999159288815,77.28363655346243,140.80776975995732
M-SMC-07282023-34,1866.504189636568,361.9608990124967,652.9291995121686,1305.8583990243371,730.0624767710016,76.21188047578727,154.7405750150955
M-SMC-07252023-20_001,1871.5325754189907,458.20015644325804,635.1022512874966,1270.2045025749933,522.5508816881821,75.30195074018054,149.46676823199155
M-SMC-07252023-23,1915.127591280632,419.0361418886825,623.843991082854,1247.687982165708,645.4787178772856,84.0204394630185,151.26723800206258
M-SMC-07252023-21,1669.3000250376444,356.44994602218475,571.3735495306299,1142.7470990612599,597.4080670908622,68.60534634144571,137.96015593208688
M-SMC-07282023-36,1867.0893112270835,418.2790848040651,611.2481763197871,1222.4963526395743,585.8684114221638,74.04414213822614,150.45184955521933
M-SMC-06262023-01,1899.6959665135757,423.27220509591416,633.1264428378572,1266.2528856757144,625.011321707074,77.06870415701239,150.94680327983144
M-SMC-07252023-20,1843.8727885289659,458.2002536000576,635.1023443896647,1270.2046887793294,522.5509673023986,75.30196685094683,149.4669155369258
M-SMC-07252023-24,1929.605881395712,447.1452830420442,666.6006713176964,1333.2013426353928,597.7394166324569,75.45261036014776,154.07138365569855
M-SMC-06282023-09,1880.9278463491096,402.6322144925657,599.1127208204942,1198.2254416409885,663.6090914184335,75.4755492614718,150.94131928843004
M-SMC-07262023-29,2103.6814635796736,486.57118585856693,710.6753299214844,1421.3506598429688,649.9723531549691,88.73416224659769,167.39266687018548
M-SMC-07262023-28,1913.9924784591694,457.44615945120364,691.9627308440879,1383.9254616881758,539.2004074289667,79.14232844918905,158.65637465630184
