session_name          ,Head-Neck Length ,Neck-Chest Length ,Chest-Ab Length ,Ab-Hip Length ,Neck-LShoulder Length ,Neck-RShoulder Length ,LShoulder-LUArm Length ,LUArm-LFArm Length ,LFArm-LHand Length ,RShoulder-RUArm Length ,RUArm-RFArm Length ,RFArm-RHand Length ,Hip-LThigh Length ,LThigh-LShin Length ,LShin-LFoot Length ,LFoot-LToe Length ,Hip-RThigh Length ,RThigh-RShin Length ,RShin-RFoot Length ,RFoot-RToe Length,Upper Body Height ,Standing Height L,Upper Leg Length A ,Upper Leg Length L ,Upper Leg Length R ,Upper Arm Length A ,Upper Arm L ,Upper Arm R ,Biacromial Breadth ,Bideltoid Width ,Wingspan  ,Foot Length A ,Foot Length L ,Foot Length R
M-SMC-06292023-16     ,95.3221,168.9331,211.6751,90.7566,35.8457,35.8457,72.0066,298.967,197.7729,72.0067,298.9671,197.7732,86.2885,411.7282,352.0151,141.0628,86.2885,411.7281,352.015,141.0629,566.6869,1330.4302,411.72815,,,298.96705,,,71.6914,215.7047,1209.1849,141.06285,,
M-SMC-06292023-17     ,99.4797,189.754,231.9639,92.941,35.9942,35.9942,72.8209,281.8911,218.8712,72.821,281.891,218.8711,88.9524,379.8162,377.287,145.4178,88.9524,379.8161,377.2871,145.4179,614.1386,1371.2418,379.81615,,,281.89105,,,71.9884,217.6303,1219.1547,145.41785,,
M-SMC-06272023-05_003 ,130.5251,205.821,189.1171,68.4843,58.3461,58.3461,68.5275,260.02,216.193,68.5275,260.02,216.193,83.5174,345.151,361.107,136.5323,83.5174,345.151,361.107,136.5323,593.9475,1300.2055,345.151,,,260.02,,,116.6922,253.7472,1206.1732,136.5323,,
M-SMC-07272023-31     ,115.5405,212.5361,252.688,101.3771,42.7667,42.7666,95.3037,322.7971,254.8059,95.3038,322.7971,254.806,99.2404,424.3741,443.0669,162.2365,99.2404,424.374,443.0673,162.2364,682.1417,1549.5827,424.37405,,,322.7971,,,85.5333,276.1408,1431.3469,162.23645,,
M-SMC-07272023-30     ,160.2406,240.224,219.717,84.0751,54.2295,54.2295,84.4527,351.645,251.222,84.4527,351.645,251.222,102.531,491.754,453.437,167.6149,102.531,491.754,453.437,167.6149,704.2567,1649.4477,491.754,,,351.645,,,108.459,277.3644,1483.0984,167.6149,,
M-SMC-06272023-05_002 ,90.9981,165.8211,209.1171,88.4843,34.3177,34.3177,68.5276,260.0202,216.1932,68.5276,260.02,216.1932,83.5174,345.1512,361.107,136.5324,83.5174,345.151,361.1071,136.5324,554.4206,1260.6788,345.1511,,,260.0201,,,68.6354,205.6906,1158.1172,136.5324,,
M-SMC-07272023-32     ,109.1267,187.274,228.248,98.0086,43.7679,43.768,101.0441,306.9431,250.7181,101.0439,306.9435,250.7179,95.1323,388.3722,458.2089,155.5198,95.1323,388.372,458.2093,155.5199,622.6573,1469.2384,388.3721,,,306.9433,,,87.5359,289.6239,1404.9465,155.51985,,
M-SMC-07272023-33     ,123.6983,218.552,257.659,105.6617,43.2283,43.2283,112.39,315.051,288.2381,112.39,315.0511,288.2381,104.465,429.131,490.947,170.7777,104.465,429.1309,490.9472,170.7778,705.571,1625.649,429.13095,,,315.05105,,,86.4566,311.2366,1517.8149,170.77775,,
M-SMC-06272023-05_001 ,130.5251,205.821,189.1171,68.4843,58.3461,58.3461,68.5275,260.02,216.193,68.5275,260.02,216.193,83.5174,345.151,361.107,136.5323,83.5174,345.151,361.107,136.5323,593.9475,1300.2055,345.151,,,260.02,,,116.6922,253.7472,1206.1732,136.5323,,
M-SMC-06272023-08     ,92.5063,170.9602,214.063,89.2767,33.9307,33.9307,69.7721,285.4242,214.1461,69.7721,285.4242,214.1461,84.4838,363.4132,349.8262,138.1126,84.4838,363.4131,349.8261,138.1126,566.8062,1280.0456,363.41315,,,285.4242,,,67.8614,207.4056,1206.5462,138.1126,,
M-SMC-07252023-22     ,96.8486,179.2321,221.7779,91.5583,34.6719,34.6719,72.5674,282.119,227.2441,72.5674,282.119,227.2441,87.2662,394.872,372.0131,142.6607,87.2662,394.8721,372.0131,142.6606,589.4169,1356.302,394.87205,,,282.119,,,69.3438,214.4786,1233.2048,142.66065,,
M-SMC-07282023-35     ,106.246,189.7128,231.055,96.4951,37.759,37.7591,103.112,315.0701,253.2201,103.112,315.0702,253.22,93.2868,405.0212,422.058,152.5032,93.2868,405.021,422.0581,152.503,623.5089,1450.5881,405.0211,,,315.07015,,,75.5181,281.7421,1418.3225,152.5031,,
