across_within,measure,model,var,coef,pvalue
within,upper_leg_length,avg_upper_leg_length + session_no + BMI,const,-10.338551868381547,0.23829445425773546
within,upper_leg_length,avg_upper_leg_length + session_no + BMI,avg_upper_leg_length,0.28224135126380173,0.12127702764181919
within,upper_leg_length,avg_upper_leg_length + session_no + BMI,BMI,-0.33932238767461076,0.06254086426549192
within,upper_leg_length,avg_upper_leg_length + session_no + BMI,session_no_2,-0.7714487870055893,0.5102637934892418
within,upper_leg_length,avg_upper_leg_length + session_no + BMI + weight,const,3.5503664611331316,0.7914142306953444
within,upper_leg_length,avg_upper_leg_length + session_no + BMI + weight,avg_upper_leg_length,0.015962119847114847,0.9520159206051344
within,upper_leg_length,avg_upper_leg_length + session_no + BMI + weight,BMI,-0.8315307380456843,0.04727414615783209
within,upper_leg_length,avg_upper_leg_length + session_no + BMI + weight,weight,0.14231601183632842,0.18507035365781882
within,upper_leg_length,avg_upper_leg_length + session_no + BMI + weight,session_no_2,-1.0655840995133072,0.36705908960029665
within,upper_leg_length,avg_upper_leg_length + session_no + BMI + weight + sex,const,4.177999296027036,0.752836870475226
within,upper_leg_length,avg_upper_leg_length + session_no + BMI + weight + sex,avg_upper_leg_length,0.04864730333625089,0.853330664527914
within,upper_leg_length,avg_upper_leg_length + session_no + BMI + weight + sex,BMI,-0.6497659938130547,0.132043685696505
within,upper_leg_length,avg_upper_leg_length + session_no + BMI + weight + sex,weight,0.0341748994213205,0.7962225693149041
within,upper_leg_length,avg_upper_leg_length + session_no + BMI + weight + sex,session_no_2,-1.1638064233885597,0.32024568454457797
within,upper_leg_length,avg_upper_leg_length + session_no + BMI + weight + sex,sex_Male,2.631540609921198,0.18859405684894415
within,biacromial_breadth,avg_biacromial_breadth,const,-0.6718489572318624,0.8736048411805364
within,biacromial_breadth,avg_biacromial_breadth,avg_biacromial_breadth,-1.1677135336145847,1.3538014212545974e-06
within,biacromial_breadth,avg_biacromial_breadth + session_no,const,0.3490352653016604,0.9372394225982482
within,biacromial_breadth,avg_biacromial_breadth + session_no,avg_biacromial_breadth,-1.1956736975480553,1.4099628234005655e-06
within,biacromial_breadth,avg_biacromial_breadth + session_no,session_no_2,-0.830138566973067,0.4254809028227847
within,biacromial_breadth,avg_biacromial_breadth + session_no + BMI,const,5.43727682330713,0.3193662604038248
within,biacromial_breadth,avg_biacromial_breadth + session_no + BMI,avg_biacromial_breadth,-1.161403690244177,1.9598193126396387e-06
within,biacromial_breadth,avg_biacromial_breadth + session_no + BMI,BMI,-0.24223100119803376,0.1241298147172955
within,biacromial_breadth,avg_biacromial_breadth + session_no + BMI,session_no_2,-0.7063973719974368,0.4890443731425902
within,biacromial_breadth,avg_biacromial_breadth + session_no + BMI + weight,const,8.926276228208764,0.25512842535434394
within,biacromial_breadth,avg_biacromial_breadth + session_no + BMI + weight,avg_biacromial_breadth,-1.2877752237530338,7.72669676696899e-05
within,biacromial_breadth,avg_biacromial_breadth + session_no + BMI + weight,BMI,-0.4330077851584906,0.20755133508648554
within,biacromial_breadth,avg_biacromial_breadth + session_no + BMI + weight,weight,0.05556158603491651,0.5276401525077474
within,biacromial_breadth,avg_biacromial_breadth + session_no + BMI + weight,session_no_2,-1.051825277627187,0.3688237350712317
within,biacromial_breadth,avg_biacromial_breadth + session_no + BMI + weight + sex,const,10.679718034478434,0.24807054106161514
within,biacromial_breadth,avg_biacromial_breadth + session_no + BMI + weight + sex,avg_biacromial_breadth,-1.3364421512162405,0.00018895122180506978
within,biacromial_breadth,avg_biacromial_breadth + session_no + BMI + weight + sex,BMI,-0.42476645300615035,0.22361826003697313
within,biacromial_breadth,avg_biacromial_breadth + session_no + BMI + weight + sex,weight,0.03828417189308043,0.702295481370989
within,biacromial_breadth,avg_biacromial_breadth + session_no + BMI + weight + sex,session_no_2,-1.1677827055677596,0.3416833934665703
within,biacromial_breadth,avg_biacromial_breadth + session_no + BMI + weight + sex,sex_Male,0.7418135813467046,0.7063086864310133
within,upper_arm_length,avg_upper_arm_length,const,-14.362832851149694,0.09089457876370655
within,upper_arm_length,avg_upper_arm_length,avg_upper_arm_length,0.1966512152970087,0.4124745287650078
within,upper_arm_length,avg_upper_arm_length + session_no,const,-14.96881148820417,0.08150920249453762
within,upper_arm_length,avg_upper_arm_length + session_no,avg_upper_arm_length,0.20183340610305225,0.40312250663186766
within,upper_arm_length,avg_upper_arm_length + session_no,session_no_2,0.806820212656997,0.4245216570270912
within,upper_arm_length,avg_upper_arm_length + session_no + BMI,const,-13.859878469213067,0.12303204148224832
within,upper_arm_length,avg_upper_arm_length + session_no + BMI,avg_upper_arm_length,0.22136546836073817,0.37235661310107593
within,upper_arm_length,avg_upper_arm_length + session_no + BMI,BMI,-0.07448881007193237,0.6394259954071513
within,upper_arm_length,avg_upper_arm_length + session_no + BMI,session_no_2,0.8380139663174778,0.4136984441616922
within,upper_arm_length,avg_upper_arm_length + session_no + BMI + weight,const,1.2759552831071392,0.9376780916480478
within,upper_arm_length,avg_upper_arm_length + session_no + BMI + weight,avg_upper_arm_length,-0.17621187738299593,0.6870610744817238
within,upper_arm_length,avg_upper_arm_length + session_no + BMI + weight,BMI,-0.47773517092226625,0.23654586987863319
within,upper_arm_length,avg_upper_arm_length + session_no + BMI + weight,weight,0.12325089311055233,0.27562663588925557
within,upper_arm_length,avg_upper_arm_length + session_no + BMI + weight,session_no_2,0.2601579064715116,0.820167488663663
within,upper_arm_length,avg_upper_arm_length + session_no + BMI + weight + sex,const,0.8378214561203515,0.9602270784906097
within,upper_arm_length,avg_upper_arm_length + session_no + BMI + weight + sex,avg_upper_arm_length,-0.1709097932736482,0.7013849572308287
within,upper_arm_length,avg_upper_arm_length + session_no + BMI + weight + sex,BMI,-0.4910529964516061,0.24063241097897184
within,upper_arm_length,avg_upper_arm_length + session_no + BMI + weight + sex,weight,0.13320386148634686,0.3063342071709359
within,upper_arm_length,avg_upper_arm_length + session_no + BMI + weight + sex,session_no_2,0.2771597660491981,0.8124007345708232
within,upper_arm_length,avg_upper_arm_length + session_no + BMI + weight + sex,sex_Male,-0.2962097725505419,0.8702396938805999
