across_within,measure,model,var,coef,pvalue,tool,pvalue_adjusted,significant,significant_robustness_firstsessiononly,significant_robustness_session1only,significant_robustness_session2only,significant_robustness_BMIweight1
within,sitting_height,avg_sitting_height + session_no + BMI,avg_sitting_height,-0.061248671158790624,0.6621466003086902,,0.8184472999523725,False,False,False,False,False
within,sitting_height,avg_sitting_height + session_no + BMI,BMI,0.157335695915102,0.44486439866822625,,0.6814943979598359,False,False,False,False,False
within,sitting_height,avg_sitting_height + session_no + BMI,session_no_2,-0.9919615636045709,0.4519406619965213,,0.6850468981842007,False,,,,False
within,sitting_height,avg_sitting_height + session_no + BMI + weight,const,-65.714173171865,0.00045511765217766815,,0.008738258921811229,True,False,False,True,True
within,sitting_height,avg_sitting_height + session_no + BMI + weight,avg_sitting_height,0.4384847378289751,0.046838535139953806,,0.2163048838195832,False,False,False,False,False
within,sitting_height,avg_sitting_height + session_no + BMI + weight,BMI,1.2913549402128415,0.005160108751586126,,0.0707672057360383,False,False,False,False,False
within,sitting_height,avg_sitting_height + session_no + BMI + weight,weight,-0.357288171046733,0.006437362673600623,,0.07415841799987917,False,False,False,False,False
within,sitting_height,avg_sitting_height + session_no + BMI + weight,session_no_2,-0.07054163419555337,0.9540213846350714,,0.9691567886962852,False,,,,False
within,sitting_height,avg_sitting_height + session_no + BMI + weight + sex,const,-66.85424756198098,0.0009751897909609892,,0.017553416237297805,True,False,False,True,True
within,sitting_height,avg_sitting_height + session_no + BMI + weight + sex,avg_sitting_height,0.4494328265683144,0.05443187895257033,,0.22317266020462628,False,False,False,False,False
within,sitting_height,avg_sitting_height + session_no + BMI + weight + sex,BMI,1.2853885040103545,0.0062782145965115865,,0.07415841799987917,False,False,False,False,False
within,sitting_height,avg_sitting_height + session_no + BMI + weight + sex,weight,-0.3485919233555348,0.014445324272388446,,0.12606828455902644,False,False,False,False,False
within,sitting_height,avg_sitting_height + session_no + BMI + weight + sex,session_no_2,-0.04746779522680544,0.9697281944293984,,0.9731070383124276,False,,,,False
within,sitting_height,avg_sitting_height + session_no + BMI + weight + sex,sex_Male,-0.36904627258512424,0.8654605964817689,,0.9115876603622988,False,False,False,False,False
within,upper_leg_length,avg_upper_leg_length,const,-16.556463352289864,0.04775943895348762,,0.2163048838195832,False,False,False,False,False
within,upper_leg_length,avg_upper_leg_length,avg_upper_leg_length,0.22844641004106397,0.21188186900392353,,0.4548281459006441,False,False,False,False,False
within,upper_leg_length,avg_upper_leg_length + session_no,const,-17.15592218434241,0.04326834972803055,,0.2163048838195832,False,False,False,False,False
